tier,name,city,glow_score,review_count
1,"Skin Verse Medical Spa",Beverly Hills,5,224
1,"Lux Aesthetics",Seattle,5,223
1,"Smiley Aesthetics Training Facility & Med Spa – Nashville",Nashville,5,222
1,"Flawless Medspa Las Vegas",Las Vegas,5,221
1,"Flawless Medspa Las Vegas",Summerlin,5,221
1,"Elizabeth dominican hair salon",Lake Worth,5,221
1,"Park Avenue Medical Spa",White Plains,5,221
1,"Dermatology Experts Parkland - Angelo Ayar, MD",Parkland,5,220
1,"Allure Institute for Plastic Surgery: Aldo A. Lombardo, MD",Jupiter,5,219
1,"Love Aesthetics & Wellness",Scottsdale,5,219
1,"Facial Mania Med Spa Midtown",Miami,5,219
1,"Serenity Spa and Massage",Naples,5,219
1,"Las Vegas Aesthetics®",Las Vegas,5,218
1,"Las Vegas Aesthetics®",Summerlin,5,218
1,"Laser of Arlington",Arlington,5,217
1,"Ora Wellness and Aesthetics",Boca Raton,5,217
1,"Mederna Aesthetic & Wellness Medical Center",Houston,5,217
1,"AYA Medical Spa Avalon - Alpharetta",Alpharetta,5,217
1,"Beyond Beauty Medical Spa",Newport Beach,5,215
1,"Concierge Medicine Miami: Dr. Jason Shapiro, TribecaMed",Miami Beach,5,213
1,"Oriental Qi Spa",Davie,5,213
1,"The Bay Aesthetics",Tampa,5,213
1,"The Bay Aesthetics",Tampa,70,213
1,"Taut Haute Skin Clinic",Scottsdale,5,213
1,"Skin Care by Tammy",Miami Beach,5,212
1,"Chicago Aesthetics Club",Chicago,5,212
1,"The Shape SPA",Miami Beach,5,210
1,"The Remedy IV Health + Wellness",Fort Lauderdale,5,210
1,"A New You Wellness",Miami,5,210
1,"Fresh Aesthetics",Austin,5,209
2,"Beverly Hills Plaza Medi Spa",Beverly Hills,4,209
1,"Atenaa Beauty Concept",Miami Beach,5,209
1,"Sculpt Med Spa Downtown Los Angeles",Los Angeles,5,209
1,"LYEV Beverly Hills- Medical Spa",Beverly Hills,5,209
1,"Gene Lee Skin Clinic",San Diego,5,208
1,"All Smiles General Dentistry II - Miami Gardens Dentist",Miami Gardens,5,208
1,"Forever Young Aesthetics",Seattle,5,207
1,"AYA Medical Spa Colony Square - Midtown",Atlanta,5,207
1,"Spine and Wellness Centers of America : Tamarac",Tamarac,5,207
1,"Hydrate Me Medspa - Grandview",Columbus,5,207
1,"M2 Medical Spa and Wellness",Charlotte,5,207
1,"Elite Aesthetics",New York City,5,205
1,"Restore Hyper Wellness",Orlando,5,205
1,"White Coat Aesthetics",Summerlin,5,205
1,"Chapter Aesthetic Studio",Chicago,5,205
1,"White Coat Aesthetics",Las Vegas,5,205
1,"My Aesthetic Doctor",Los Angeles,5,204
1,"RevitalIV",Jupiter,5,203
1,"Innova MedSpa",Phoenix,5,202
1,"Priority Health MD: Roberto Fernandez-Blay, MD",Cooper City,5,201
1,"Face Card Miami",Miami Beach,5,200
1,"BODYWELLE",Miami Beach,5,200
1,"No Filter Medical Spa",Miami,5,199
1,"NakedMD Med Spa Houston",Houston,5,199
1,"DeluxeBar Medical Aesthetics",Boston,5,199
2,"Hair Ego",Cutler Bay,4,198
1,"Radiance Medspa Atlanta",Atlanta,5,198
1,"Latin Beauty Salon Andreas",North Miami Beach,5,197
1,"Wairua beauty",Miami Beach,5,197
1,"The Science of Beauty",Dallas,5,197
1,"Austin Med Spa",Austin,5,197
1,"European Luxury Day Spa",White Plains,5,197
1,"Dr. Ingrid Herskovitz",Coral Gables,5,196
1,"Restore Hyper Wellness",Fort Worth,5,196
